Protein FDR Confidence;Accession;Gene symbol;Protein evidence;Protein name;Exp. q-value;Sum PEP Score;Coverage;# Peptides;# PSMs;# Unique Peptides;# Protein Groups;# AAs;MW [kDa];calc. pI;Score Sequest HT;# Peptides Sequest HT;Score Mascot;# Peptides Mascot;Norm Intensity;iBAQ;Log2 iBAQ
High;NX_P14625-1;HSP90B1;1;Endoplasmin isoform Iso 1;0;1347;73.97;73;1804;71;1;803;92.4;4.84;5240.42;70;15640;72;7764131867;194103296.7;27.53
;;;;;;;;;;;;;;;;;;;;;
High;NX_O75923-13;DYSF;1;Dysferlin isoform Iso 13;0;1341;56.87;97;505;94;1;2119;241.2;5.85;1502.91;93;6397;96;1303207491;13163712.03;23.65
;;;;;;;;;;;;;;;;;;;;;
High;NX_P07814-1;EPRS;1;Bifunctional glutamate/proline--tRNA ligase isoform Iso 1;0;1317;68.72;98;567;98;1;1512;170.5;7.33;1682.27;93;5669;91;1673740769;22316543.59;24.41
;;;;;;;;;;;;;;;;;;;;;
High;NX_P63261-1;ACTG1;1;Actin, cytoplasmic 2 isoform Iso 1;0;1283;85.07;45;8573;3;1;375;41.8;5.48;30339.98;38;132526;45;198026000000;9901280314;33.2
;;;;;;;;;;;;;;;;;;;;;
High;NX_P60709-1;ACTB;1;Actin, cytoplasmic 1 isoform Iso 1;0;1271;85.07;45;8562;3;1;375;41.7;5.48;30341.61;38;132413;45;198853000000;9942665976;33.21
;;;;;;;;;;;;;;;;;;;;;
High;NX_P18206-1;VCL;1;Vinculin isoform Iso 2;0;1270;66.14;78;818;67;1;1134;123.7;5.66;2426.55;77;11459;77;3480956117;47039947.53;25.49
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q6P2Q9-1;PRPF8;1;Pre-mRNA-processing-splicing factor 8 isoform Iso 1;0;1230;52.42;110;457;110;1;2335;273.4;8.84;1217.51;107;4190;108;944317292.7;7615462.038;22.86
;;;;;;;;;;;;;;;;;;;;;
High;NX_P55072-1;VCP;1;Transitional endoplasmic reticulum ATPase isoform Iso 1;0;1222;80.4;69;1170;69;1;806;89.3;5.26;3334.94;64;13093;68;6160553802;146679852.4;27.13
;;;;;;;;;;;;;;;;;;;;;
High;NX_P26038-1;MSN;1;Moesin isoform Iso 1;0;1219;78.68;65;1796;46;1;577;67.8;6.4;4898.34;63;22085;65;10683078725;314208197.8;28.23
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q92616-1;GCN1;1;eIF-2-alpha kinase activator GCN1 isoform Iso 1;0;1213;51.29;120;425;120;1;2671;292.6;7.47;1090.87;117;4600;117;805836214.4;4943780.456;22.24
;;;;;;;;;;;;;;;;;;;;;
High;NX_O75643-1;SNRNP200;1;U5 small nuclear ribonucleoprotein 200 kDa helicase isoform Iso 1;0;1207;56.65;103;434;103;1;2136;244.4;6.06;1269.9;99;5291;100;986881282.3;8733462.675;23.06
;;;;;;;;;;;;;;;;;;;;;
High;NX_P27816-1;MAP4;1;Microtubule-associated protein 4 isoform Iso 1;0;1199;74.57;73;572;73;1;1152;120.9;5.43;1374.61;61;5728;73;2070459063;35697570.05;25.09
;;;;;;;;;;;;;;;;;;;;;
High;NX_P53621-1;COPA;1;Coatomer subunit alpha isoform Iso 1;0;1177;69.36;79;504;79;1;1224;138.3;7.66;1463.26;75;6655;77;1918755341;27808048.41;24.73
;;;;;;;;;;;;;;;;;;;;;
High;NX_P42704-1;LRPPRC;1;Leucine-rich PPR motif-containing protein, mitochondrial isoform Iso 1;0;1131;67.29;86;529;86;1;1394;157.8;6.13;1502.18;84;6386;86;1380080475;15682732.67;23.9
;;;;;;;;;;;;;;;;;;;;;
High;NX_P14618-1;PKM;1;Pyruvate kinase PKM isoform M2;0;1114;87.19;47;1893;5;1;531;57.9;7.84;6142.18;44;30286;47;12244263110;408142103.7;28.6
;;;;;;;;;;;;;;;;;;;;;
High;NX_P08133-1;ANXA6;1;Annexin A6 isoform Iso 1;0;1076;77.56;62;746;62;1;673;75.8;5.6;2145.72;59;9780;62;4527119766;102889085.6;26.62
;;;;;;;;;;;;;;;;;;;;;
High;NX_P07437-1;TUBB;1;Tubulin beta chain isoform Iso 1;0;1071;86.26;36;2076;6;1;444;49.6;4.89;5967.01;32;24515;36;39271458368;2066918861;30.94
;;;;;;;;;;;;;;;;;;;;;
High;NX_P68371-1;TUBB4B;1;Tubulin beta-4B chain isoform Iso 1;0;1058;85.17;35;1810;1;1;445;49.8;4.89;4991.12;31;22385;35;33678878777;1772572567;30.72
;;;;;;;;;;;;;;;;;;;;;
High;NX_P11142-1;HSPA8;1;Heat shock cognate 71 kDa protein isoform Iso 1;0;1047;77.4;53;1666;37;1;646;70.9;5.52;5212.77;50;25061;53;13941139357;422458768.4;28.65
;;;;;;;;;;;;;;;;;;;;;
High;NX_P07996-1;THBS1;1;Thrombospondin-1 isoform Iso 1;0;1037;65.9;68;667;67;1;1170;129.3;4.94;1936.17;62;8632;67;2963766284;48586332.52;25.53
;;;;;;;;;;;;;;;;;;;;;
High;NX_P06733-1;ENO1;1;Alpha-enolase isoform alpha-enolase;0;1034;83.41;45;3311;40;1;434;47.1;7.39;10595.22;43;57826;45;15871702961;721441043.7;29.43
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q7Z6Z7-1;HUWE1;1;E3 ubiquitin-protein ligase HUWE1 isoform Iso 1;0;1034;33.7;98;316;98;1;4374;481.6;5.22;809.65;89;3094;94;531521351.4;2952896.397;21.49
;;;;;;;;;;;;;;;;;;;;;
High;NX_P27708-1;CAD;1;CAD protein isoform Iso 1;0;1032;52.49;81;384;81;1;2225;242.8;6.46;1035.71;73;4929;81;1046618568;10789882.15;23.36
;;;;;;;;;;;;;;;;;;;;;
High;NX_P46939-2;UTRN;1;Utrophin isoform Iso 2;0;1023;42.35;113;287;111;1;3438;394.7;5.38;753.82;112;2975;110;538811734.2;3078924.195;21.55
;;;;;;;;;;;;;;;;;;;;;
High;NX_P35221-1;CTNNA1;1;Catenin alpha-1 isoform Iso 1;0;1022;74.72;64;529;52;1;906;100;6.29;1694.9;59;7794;64;1892948121;38631594.3;25.2
;;;;;;;;;;;;;;;;;;;;;
High;NX_P11021-1;HSPA5;1;78 kDa glucose-regulated protein isoform Iso 1;0;1020;66.21;52;1742;49;1;654;72.3;5.16;5201.5;51;24523;52;14073978330;439811822.8;28.71
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q13885-1;TUBB2A;1;Tubulin beta-2A chain isoform Iso 1;0;1007;77.3;35;1422;2;1;445;49.9;4.89;4540.77;32;18234;35;30229740100;1591038953;30.57
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9P2E9-1;RRBP1;1;Ribosome-binding protein 1 isoform Iso 3;0;996;45.53;67;512;3;1;1410;152.4;8.6;1613.77;64;9304;66;1946499667;25611837.72;24.61
;;;;;;;;;;;;;;;;;;;;;
High;NX_P04406-1;GAPDH;1;Glyceraldehyde-3-phosphate dehydrogenase isoform Iso 1;0;994;78.51;31;4533;30;1;335;36;8.46;15147.56;27;51002;31;41317729006;2430454647;31.18
;;;;;;;;;;;;;;;;;;;;;
High;NX_P14618-2;PKM;1;Pyruvate kinase PKM isoform M1;0;994;80.98;45;1570;3;1;531;58;7.71;5171.96;42;27039;45;11310568123;364857036.2;28.44
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q14764-1;MVP;1;Major vault protein isoform Iso 1;0;990;69.09;61;753;61;1;893;99.3;5.48;1892.02;56;7458;59;2298748325;53459263.37;25.67
;;;;;;;;;;;;;;;;;;;;;
High;NX_P13667-1;PDIA4;1;Protein disulfide-isomerase A4 isoform Iso 1;0;986;66.2;59;736;59;1;645;72.9;5.07;2109.18;58;7533;59;2848091164;74949767.48;26.16
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9BVA1-1;TUBB2B;1;Tubulin beta-2B chain isoform Iso 1;0;984;85.17;35;1557;1;1;445;49.9;4.89;4473.83;31;19009;35;30216493374;1590341757;30.57
;;;;;;;;;;;;;;;;;;;;;
High;NX_P13797-1;PLS3;1;Plastin-3 isoform Iso 1;0;982;71.59;53;600;46;1;630;70.8;5.6;1815.62;48;8910;53;3477171612;91504516.12;26.45
;;;;;;;;;;;;;;;;;;;;;
High;NX_P10809-1;HSPD1;1;60 kDa heat shock protein, mitochondrial isoform Iso 1;0;981;81.68;50;1110;50;1;573;61;5.87;3489.39;48;16833;50;3890231828;121569744.6;26.86
;;;;;;;;;;;;;;;;;;;;;
High;NX_P15144-1;ANPEP;1;Aminopeptidase N isoform Iso 1;0;969;53.98;54;1079;54;1;967;109.5;5.48;3120.09;50;12455;54;4119210996;91538022.12;26.45
;;;;;;;;;;;;;;;;;;;;;
High;NX_O60716-3;CTNND1;1;Catenin delta-1 isoform 1AC;0;968;67.31;54;444;54;1;939;104.9;6.87;1365.48;50;5986;53;1094639319;22339577.93;24.41
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q14697-1;GANAB;1;Neutral alpha-glucosidase AB isoform Iso 1;0;953;60.49;51;568;1;1;944;106.8;6.14;1665.16;48;6305;51;2490125173;57909887.74;25.79
;;;;;;;;;;;;;;;;;;;;;
High;NX_P22314-2;UBA1;1;Ubiquitin-like modifier-activating enzyme 1 isoform Iso 2;0;952;66.4;55;814;55;1;1018;113.7;5.6;2686.24;52;12416;54;2981682888;57340055.54;25.77
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9P2E9-2;RRBP1;1;Ribosome-binding protein 1 isoform Iso 1;0;952;45.42;66;496;2;1;1407;152.1;8.66;1541.79;63;8946;65;1890028333;24868793.86;24.57
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q01813-1;PFKP;1;ATP-dependent 6-phosphofructokinase, platelet type isoform Iso 1;0;951;62.37;54;774;48;1;784;85.5;7.55;2258.49;50;11900;54;3529279487;110289984;26.72
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q5T4S7-2;UBR4;1;E3 ubiquitin-protein ligase UBR4 isoform Iso 2;0;950;28.96;109;273;109;1;5204;575.6;6.01;692.61;106;2443;108;467822341.1;2016475.608;20.94
;;;;;;;;;;;;;;;;;;;;;
High;NX_P02545-1;LMNA;1;Prelamin-A/C isoform A;0;943;75;65;1074;5;1;664;74.1;7.02;3039.45;63;17548;65;7332466165;178840638.2;27.41
;;;;;;;;;;;;;;;;;;;;;
High;NX_P49792-1;RANBP2;1;E3 SUMO-protein ligase RanBP2 isoform Iso 1;0;936;38.65;88;260;69;1;3224;358;6.2;683.99;85;2513;88;429172637.4;2601046.287;21.31
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q14697-2;GANAB;1;Neutral alpha-glucosidase AB isoform Iso 2;0;935;58.9;51;550;1;1;966;109.4;6.24;1591.81;48;6081;51;2475160384;56253645.1;25.75
;;;;;;;;;;;;;;;;;;;;;
High;NX_P50395-1;GDI2;1;Rab GDP dissociation inhibitor beta isoform Iso 1;0;922;82.7;48;489;37;1;445;50.6;6.47;1582.38;47;6018;48;2344907924;86848441.64;26.37
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q08211-1;DHX9;1;ATP-dependent RNA helicase A isoform Iso 1;0;919;57.56;62;458;62;1;1270;140.9;6.84;1311.96;59;6434;61;1881717313;30847824.8;24.88
;;;;;;;;;;;;;;;;;;;;;
High;NX_P02545-2;LMNA;1;Prelamin-A/C isoform C;0;912;75.35;62;1023;2;1;572;65.1;6.84;2913.72;62;14692;62;7233758106;195506975.8;27.54
;;;;;;;;;;;;;;;;;;;;;
High;NX_P12956-1;XRCC6;1;X-ray repair cross-complementing protein 6 isoform Iso 1;0;909;68.31;52;518;52;1;609;69.8;6.64;1553.75;49;5631;52;1823697465;55263559.54;25.72
;;;;;;;;;;;;;;;;;;;;;
High;NX_P12270-1;TPR;1;Nucleoprotein TPR isoform Iso 1;0;903;44.69;85;238;84;1;2363;267.1;5.02;623.75;83;2718;82;468188048.2;4375589.235;22.06
;;;;;;;;;;;;;;;;;;;;;
High;NX_P07942-1;LAMB1;1;Laminin subunit beta-1 isoform Iso 1;0;898;50.22;67;338;66;1;1786;197.9;4.94;890.33;62;2974;67;795193903.8;11524549.33;23.46
;;;;;;;;;;;;;;;;;;;;;
High;NX_P04350-1;TUBB4A;1;Tubulin beta-4A chain isoform Iso 1;0;896;79.05;31;1569;2;1;444;49.6;4.88;4390.96;27;19120;31;26976983713;1419841248;30.4
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9Y4L1-1;HYOU1;1;Hypoxia up-regulated protein 1 isoform Iso 1;0;892;64.76;59;634;59;1;999;111.3;5.22;1980.48;58;10459;58;2236190851;40658015.47;25.28
;;;;;;;;;;;;;;;;;;;;;
High;NX_P07355-1;ANXA2;1;Annexin A2 isoform Iso 1;0;889;86.14;51;2090;51;1;339;38.6;7.75;6157.28;48;35467;50;52638844072;2392674731;31.16
;;;;;;;;;;;;;;;;;;;;;
High;NX_O00410-1;IPO5;1;Importin-5 isoform Iso 1;0;879;59.98;52;399;48;1;1097;123.6;4.94;1241.56;49;5052;51;869256572.9;16401067.41;23.97
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q13509-1;TUBB3;1;Tubulin beta-3 chain isoform Iso 1;0;879;81.33;32;1258;13;1;450;50.4;4.93;3741.15;28;16029;32;26045803446;1370831760;30.35
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q71U36-1;TUBA1A;1;Tubulin alpha-1A chain isoform Iso 1;0;878;78.94;40;4289;3;1;451;50.1;5.06;15622.42;37;76361;39;31410501753;1495738179;30.48
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q14195-2;DPYSL3;1;Dihydropyrimidinase-related protein 3 isoform LCRMP-4;0;877;72.66;39;457;35;1;684;73.9;6.35;1419.62;39;6419;39;1984869956;55135276.55;25.72
;;;;;;;;;;;;;;;;;;;;;
High;NX_P34932-1;HSPA4;1;Heat shock 70 kDa protein 4 isoform Iso 1;0;872;75.83;56;399;53;1;840;94.3;5.19;1173.77;52;4914;56;1373179578;27463591.55;24.71
;;;;;;;;;;;;;;;;;;;;;
High;NX_P30101-1;PDIA3;1;Protein disulfide-isomerase A3 isoform Iso 1;0;867;69.11;45;868;45;1;505;56.7;6.35;2845.32;43;12088;44;7300653225;270394563.9;28.01
;;;;;;;;;;;;;;;;;;;;;
High;NX_P53396-1;ACLY;1;ATP-citrate synthase isoform Iso 1;0;865;56.58;60;512;60;1;1101;120.8;7.33;1413.17;60;7381;60;2120600507;37203517.66;25.15
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9BUF5-1;TUBB6;1;Tubulin beta-6 chain isoform Iso 1;0;865;84.53;32;1316;16;1;446;49.8;4.88;3532.09;28;16886;32;16211202609;853221190;29.67
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q7KZF4-1;SND1;1;Staphylococcal nuclease domain-containing protein 1 isoform Iso 1;0;860;63.85;53;431;53;1;910;101.9;7.17;1278.12;49;4482;52;1785338992;35706779.84;25.09
;;;;;;;;;;;;;;;;;;;;;
High;NX_P68104-1;EEF1A1;1;Elongation factor 1-alpha 1 isoform Iso 1;0;860;75.11;35;1946;19;1;462;50.1;9.01;5843.03;29;19204;35;14752294828;776436569.9;29.53
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q14203-4;DCTN1;1;Dynactin subunit 1 isoform Iso 4;0;860;57.46;58;291;57;1;1253;138.7;5.54;845.53;55;3354;58;724981462.9;12718973.03;23.6
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q14152-1;EIF3A;1;Eukaryotic translation initiation factor 3 subunit A isoform Iso 1;0;858;46.53;74;480;74;1;1382;166.5;6.79;1219.73;69;5730;74;1507950001;23561718.77;24.49
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q14980-1;NUMA1;1;Nuclear mitotic apparatus protein 1 isoform Iso 1;0;858;49.27;79;222;78;1;2115;238.1;5.78;618.65;76;2508;77;330965839.5;2828767.859;21.43
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q12906-1;ILF3;1;Interleukin enhancer-binding factor 3 isoform Iso 1;0;847;72.04;53;456;2;1;894;95.3;8.76;1101.34;39;5771;53;1897813320;54223237.71;25.69
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q12906-7;ILF3;1;Interleukin enhancer-binding factor 3 isoform Iso 7;0;847;72.16;53;458;2;1;898;95.7;8.81;1105.04;40;5776;53;1902369216;52843589.33;25.66
;;;;;;;;;;;;;;;;;;;;;
High;NX_P07237-1;P4HB;1;Protein disulfide-isomerase isoform Iso 1;0;845;75.59;48;927;48;1;508;57.1;4.87;2401.29;41;13496;48;6702706394;191505897;27.51
;;;;;;;;;;;;;;;;;;;;;
High;NX_P29401-1;TKT;1;Transketolase isoform Iso 1;0;840;73.84;42;886;42;1;623;67.8;7.66;2380.16;38;9277;42;3549922867;126782959.6;26.92
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q99460-1;PSMD1;1;26S proteasome non-ATPase regulatory subunit 1 isoform Iso 1;0;830;60.44;49;328;49;1;953;105.8;5.39;1008.67;48;3920;49;1011244331;22472096.24;24.42
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q00341-1;HDLBP;1;Vigilin isoform Iso 1;0;830;53.08;66;408;66;1;1268;141.4;6.87;1074.03;59;5166;64;1304373650;19763237.12;24.24
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9Y678-1;COPG1;1;Coatomer subunit gamma-1 isoform Iso 1;0;815;77.8;54;390;49;1;874;97.7;5.47;1056.38;52;4655;54;1331547887;27174446.68;24.7
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q86UP2-1;KTN1;1;Kinectin isoform Iso 1;0;811;52.84;65;266;65;1;1357;156.2;5.64;762.07;63;3014;64;626480253.1;7640003.087;22.87
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9BQE3-1;TUBA1C;1;Tubulin alpha-1C chain isoform Iso 1;0;810;77.95;37;2700;3;1;449;49.9;5.1;9083.26;35;39080;36;28036990987;1335094809;30.31
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9NYU2-1;UGGT1;1;UDP-glucose:glycoprotein glucosyltransferase 1 isoform Iso 1;0;799;51.58;63;311;61;1;1555;177.1;5.63;881.63;59;3896;61;782212752.6;11017081.02;23.39
;;;;;;;;;;;;;;;;;;;;;
High;NX_P26640-1;VARS;1;Valine--tRNA ligase isoform Iso 1;0;798;58.39;61;371;61;1;1264;140.4;7.59;947.73;56;4783;61;1159136102;21075201.85;24.33
;;;;;;;;;;;;;;;;;;;;;
High;NX_O75533-1;SF3B1;1;Splicing factor 3B subunit 1 isoform Iso 1;0;798;53.83;57;298;57;1;1304;145.7;7.09;896.5;56;3376;54;747971864.9;12466197.75;23.57
;;;;;;;;;;;;;;;;;;;;;
High;NX_P48643-1;CCT5;1;T-complex protein 1 subunit epsilon isoform Iso 1;0;795;81.33;47;522;46;1;541;59.6;5.66;1416.96;43;6197;47;1880478448;55308189.64;25.72
